אני	я
הוא	он
היא	она
זה	это
אָנוּ	мы
הֵם	они
לִי	мне
אתה	ты
אוֹתוֹ	ему
לָנוּ	нас
אוֹתָם	их
שֶׁלִי	мой
שֶׁלְךָ	твой
שֶׁלָה	ее
שֶׁלָה	его
שֶׁלָנוּ	наш
שֶׁלָהֶם	их
שלי	мой
שלך	твой
שֶׁלוֹ	его
שֶׁלָה	ее
שֶׁלָנוּ	наш
שֶׁלָהֶם	их
זֶה	этот
את כל	все
ראשון	первый
שְׁנִיָה	второй
שְׁלִישִׁי	третий
הַבָּא	следующий
אחרון	последний
אחד	один
שתיים	два
שְׁלוֹשָׁה	три
ארבע	четыре
חָמֵשׁ	пять
שֵׁשׁ	шесть
שבעה	Семь
שמונה	восемь
תֵשַׁע	девять
עשר	десять
שוב	снова
תמיד	всегда
לעולם לא	никогда
אַחֵר	другой
אַחֵר	другой
אותו	такой же
שונה	другой
הרבה	много
ו	и
ל	к
ב	в
הוא	является
זֶה	что
היה	был
ל	для
עַל	на
הם	являются
כפי ש	как
עם	с
בְּ-	в
לִהיוֹת	быть
יש	иметь
מ	от
אוֹ	или
היה	имел
על ידי	к
מִלָה	слово
אבל	но
לֹא	нет
מה	что
היו	были
מתי	когда
פחית	может
אמר	сказал
שם	там
להשתמש	использовать
אֶפֶס	нуль
כל אחד	каждый
איזה	который
לַעֲשׂוֹת	делать
אֵיך	как
אם	если
רָצוֹן	воля
לְמַעלָה	вверх
על אודות	о
הַחוּצָה	вне
רב	много
לאחר מכן	затем
אלה	эти
כך	так
כמה	некоторый
היה	бы
עשה	делать
כמו	нравиться
לְתוֹך	в
זְמַן	время
יש ל	имеет
תראה	смотреть
יותר	более
לִכתוֹב	писать
ללכת	идти
לִרְאוֹת	видеть
מספר	число
לא	нет
דֶרֶך	способ
הָיָה יָכוֹל	мог
אֲנָשִׁים	люди
מאשר	чем
מים	вода
היה	был
שִׂיחָה	вызов
מי	воз
שמן	масло
עַכשָׁיו	сейчас
למצוא	находить
ארוך	длинный
מטה	вниз
יְוֹם	день
עשה	делал
לקבל	получать
לבוא	приходить
עָשׂוּי	сделал
מאי	может
חֵלֶק	часть
על	над
אמר	сказать
מַעֲרֶכֶת	набор
חָדָשׁ	новый
גדול	большой
לָשִׂים	помещать
נשמע	звук
איפה	где
סוֹף	конец
לקחת	брать
עֶזרָה	помощь
עושה	делает
רק	только
דרך	через
קטן	маленький
הַרבֵּה	много
נו	хорошо
עֲבוֹדָה	работа
לפני	до
גָדוֹל	большой
לָדַעַת	знать
קַו	линия
צריך	должен
מקום	место
ימין	верно
גָדוֹל	большой
שָׁנָה	год
גַם	слишком
אֲפִילוּ	даже
לחיות	жить
מתכוון	иметь в виду
כגון	такой
ישן	старый
כי	потому что
חזור	назад
כל	любой
לפנות	повернуть
לָתֵת	давать
כאן	здесь
רוב	большинство
לאמר	рассказывать
למה	почему
מאוד	очень
יֶלֶד	мальчик
לִשְׁאוֹל	просить
לאחר	после
לעקוב אחר	следовать
הלך	шел
דָבָר	вещь
הגיע	пришел
גברים	Мужчины
רוצה	хотеть
לקרוא	читать
רַק	только
הופעה	показывать
צוֹרֶך	нуждаться
שֵׁם	имя
גַם	также
ארץ	земля
טוֹב	хороший
סְבִיב	вокруг
משפט	предложение
טופס	форма
בית	дом
איש	мужчина
לַחשׁוֹב	думать
קָטָן	маленький
מהלך לזוז לעבור	двигаться
לְנַסוֹת	пытаться
סוג	добрый
יד	рука
תְמוּנָה	картина
שינוי	изменять
כבוי	выключенный
לְשַׂחֵק	играть
לַחַשׁ	заклинание
אוויר	воздух
רָחוֹק	прочь
בעל חיים	животное
בַּיִת	дом
נְקוּדָה	точка
עמוד	страница
מִכְתָב	письмо
אִמָא	мать
תשובה	отвечать
מצאתי	найденный
לימוד	изучать
עוֹד	все еще
לִלמוֹד	учиться
צריך	должен
אמריקה	Америка
עוֹלָם	мир
גָבוֹהַ	высокий
כֹּל	каждый
אחד עשר	одиннадцать
שתיים עשרה	двенадцать
שְׁלוֹשׁ עֶשׂרֵה	тринадцать
ארבעה עשר	четырнадцать
חֲמֵשׁ עֶשׂרֵה	пятнадцать
שש עשרה	шестнадцать
שבע עשרה	семнадцать
שמונה עשרה	восемнадцать
תשע עשרה	девятнадцать
עשרים	двадцать
ליד	около
לְהוֹסִיף	добавлять
מזון	еда
בֵּין	между
שֶׁלוֹ	собственный
לְהַלָן	ниже
מדינה	страна
צמח	растение
בית ספר	школа
אַבָּא	отец
לִשְׁמוֹר	держать
עֵץ	дерево
הַתחָלָה	начинать
עִיר	город
כדור הארץ	земля
עַיִן	глаз
אוֹר	свет
מַחֲשָׁבָה	мысль
רֹאשׁ	голова
תַחַת	под
כַּתָבָה	история
ראה	пила
חָשׁוּב	важный
שמאלה	левый
עד	до
אל תעשה	не
יְלָדִים	дети
מְעַטִים	немного
צַד	сторона
בזמן	пока
רגליים	ноги
לְאוֹרֶך	вдоль
אוטו	машина
אולי	мощь
מִיל	миля
סגור	закрывать
לַיְלָה	ночь
משהו	что-нибудь
לָלֶכֶת	ходить
נראה	казаться
לבן	белый
יָם	море
קָשֶׁה	жесткий
התחיל	начал
לִפְתוֹחַ	открыть
לגדול	расти
דוגמא	пример
לקח	взял
התחל	начинать
נהר	река
חַיִים	жизнь
לשאת	нести
הָהֵן	те
מדינה	состояние
שניהם	оба
פַּעַם	один раз
עיתון	бумага
סֵפֶר	книга
יַחַד	вместе
לִשְׁמוֹעַ	слышать
קיבל	получил
תפסיק	останавливаться
קְבוּצָה	группа
לְלֹא	без
לעתים קרובות	часто
לָרוּץ	бегать
יותר מאוחר	позже
עלמה	скучать
רַעְיוֹן	идея
מספיק	достаточно
לאכול	есть
פָּנִים	лицо
שעון	смотреть
רָחוֹק	далеко
הוֹדִי	Индийский
בֶּאֱמֶת	Действительно
כִּמעַט	почти
לתת	позволять
מֵעַל	выше
ילדה	девочка
